city,country,latitude,longitude,elevation_m,timezone,resolved_country,source,resolved_at
Lautoka,Fiji,-17.61686,177.45049,47.0,Pacific/Fiji,Fiji,open-meteo,2026-08-08T18:55:47+00:00
Helsinki,Finland,60.16952,24.93545,26.0,Europe/Helsinki,Finland,open-meteo,2026-08-08T18:55:47+00:00
Tampere,Finland,61.49911,23.78712,114.0,Europe/Helsinki,Finland,open-meteo,2026-08-08T18:55:48+00:00
Turku,Finland,60.45148,22.26869,22.0,Europe/Helsinki,Finland,open-meteo,2026-08-08T18:55:48+00:00
Paris,France,48.85341,2.3488,42.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:49+00:00
Saint-Denis,France,48.93564,2.35387,34.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:49+00:00
Lyon,France,45.74906,4.84789,173.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:50+00:00
Marseille,France,43.29695,5.38107,28.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:50+00:00
Nice,France,43.70313,7.26608,25.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:51+00:00
Lille,France,50.63391,3.05512,20.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:51+00:00
Nantes,France,47.21725,-1.55336,19.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:52+00:00
Bordeaux,France,44.84124,-0.58046,20.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:53+00:00
Décines-Charpieu,France,45.76873,4.95883,189.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:53+00:00
Guingamp,France,48.56259,-3.15289,73.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:54+00:00
Lens,France,50.43302,2.82791,37.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:54+00:00
Metz,France,49.11911,6.17269,182.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:55+00:00
Rennes,France,48.11109,-1.67431,39.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:55+00:00
Strasbourg,France,48.58392,7.74553,147.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:56+00:00
Toulouse,France,43.60426,1.44367,150.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:56+00:00
Villeneuve-d'Ascq,France,50.61669,3.16664,32.0,Europe/Paris,France,open-meteo,2026-08-08T18:55:57+00:00
Franceville,Gabon,-1.63333,13.58357,405.0,Africa/Libreville,Gabon,open-meteo,2026-08-08T18:55:58+00:00
Libreville,Gabon,0.39241,9.45356,8.0,Africa/Libreville,Gabon,open-meteo,2026-08-08T18:55:59+00:00
Vigo,Spain,42.23282,-8.72264,86.0,Europe/Madrid,Spain,open-meteo,2026-08-08T18:55:59+00:00
Bakau,Gambia,,,,,,open-meteo,2026-08-08T18:56:00+00:00
Tbilisi,Georgia,41.69143,44.83412,433.0,Asia/Tbilisi,Georgia,open-meteo,2026-08-08T18:56:00+00:00
Batumi,Georgia,41.64077,41.6306,8.0,Asia/Tbilisi,Georgia,open-meteo,2026-08-08T18:56:01+00:00
Gori,Georgia,41.98532,44.1129,602.0,Asia/Tbilisi,Georgia,open-meteo,2026-08-08T18:56:01+00:00
Kutaisi,Georgia,42.26791,42.69459,153.0,Asia/Tbilisi,Georgia,open-meteo,2026-08-08T18:56:02+00:00
Munich,Germany,48.13743,11.57549,524.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:02+00:00
Stuttgart,Germany,48.78232,9.17702,252.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:03+00:00
Cologne,Germany,50.93333,6.95,58.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:03+00:00
Dortmund,Germany,51.51494,7.466,96.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:04+00:00
Leipzig,Germany,51.33962,12.37129,116.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:04+00:00
Mönchengladbach,Germany,51.18539,6.44172,57.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:05+00:00
Düsseldorf,Germany,51.22319,6.77927,42.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:06+00:00
Frankfurt,Germany,50.11552,8.68417,113.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:06+00:00
Hamburg,Germany,53.55073,9.99302,9.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:07+00:00
Mainz,Germany,49.98185,8.28008,125.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:07+00:00
Sinsheim,Germany,49.2529,8.87867,162.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:08+00:00
Wolfsburg,Germany,52.42452,10.7815,62.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:08+00:00
Berlin,Germany,52.52437,13.41053,74.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:09+00:00
Duisburg,Germany,51.43247,6.76516,38.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:09+00:00
Gelsenkirchen,Germany,51.50508,7.09654,48.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:10+00:00
Nuremberg,Germany,49.45421,11.07752,300.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:10+00:00
Bremen,Germany,53.07582,8.80717,17.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:11+00:00
Freiburg,Germany,47.9959,7.85222,278.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:11+00:00
Hanover,Germany,52.37052,9.73322,57.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:12+00:00
Kaiserslautern,Germany,49.443,7.77161,240.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:13+00:00
Leverkusen,Germany,51.0303,6.98432,52.0,Europe/Berlin,Germany,open-meteo,2026-08-08T18:56:13+00:00
Accra,Ghana,5.55602,-0.1969,33.0,Africa/Accra,Ghana,open-meteo,2026-08-08T18:56:14+00:00
Kumasi,Ghana,6.68848,-1.62443,270.0,Africa/Accra,Ghana,open-meteo,2026-08-08T18:56:14+00:00
Cape Coast,Ghana,5.10535,-1.2466,21.0,Africa/Accra,Ghana,open-meteo,2026-08-08T18:56:15+00:00
Tamale,Ghana,9.40079,-0.8393,196.0,Africa/Accra,Ghana,open-meteo,2026-08-08T18:56:15+00:00
Visby,Sweden,57.64089,18.29602,22.0,Europe/Stockholm,Sweden,open-meteo,2026-08-08T18:56:17+00:00
Dalhem,Sweden,57.98333,16.18333,119.0,Europe/Stockholm,Sweden,open-meteo,2026-08-08T18:56:17+00:00
Athens,Greece,37.98376,23.72784,70.0,Europe/Athens,Greece,open-meteo,2026-08-08T18:56:26+00:00
Piraeus,Greece,37.94203,23.64619,29.0,Europe/Athens,Greece,open-meteo,2026-08-08T18:56:27+00:00
Heraklion,Greece,35.32787,25.14341,60.0,Europe/Athens,Greece,open-meteo,2026-08-08T18:56:27+00:00
Thessaloniki,Greece,40.64072,22.93493,,Europe/Athens,Greece,open-meteo,2026-08-08T18:56:28+00:00
Vólos,Greece,39.36923,22.94769,52.0,Europe/Athens,Greece,open-meteo,2026-08-08T18:56:28+00:00
St. George's,Grenada,12.05288,-61.75226,6.0,America/Grenada,Grenada,open-meteo,2026-08-08T18:56:29+00:00
Carriacou,Grenada,12.47629,-61.47318,5.0,America/Grenada,Grenada,open-meteo,2026-08-08T18:56:29+00:00
Gouyave,Grenada,12.16462,-61.72965,19.0,America/Grenada,Grenada,open-meteo,2026-08-08T18:56:30+00:00
Grenada,Grenada,12.11667,-61.66667,261.0,America/Grenada,Grenada,open-meteo,2026-08-08T18:56:30+00:00
Sauteurs,Grenada,12.21833,-61.63917,46.0,America/Grenada,Grenada,open-meteo,2026-08-08T18:56:31+00:00
Dededo,Guam,,,,,,open-meteo,2026-08-08T18:56:33+00:00
Guatemala City,Guatemala,14.64072,-90.51327,1508.0,America/Guatemala,Guatemala,open-meteo,2026-08-08T18:56:34+00:00
Antigua Guatemala,Guatemala,14.55636,-90.7332,1583.0,America/Guatemala,Guatemala,open-meteo,2026-08-08T18:56:34+00:00
Quetzaltenango,Guatemala,14.84462,-91.52316,2351.0,America/Guatemala,Guatemala,open-meteo,2026-08-08T18:56:35+00:00
Conakry,Guinea,9.53795,-13.67729,13.0,Africa/Conakry,Guinea,open-meteo,2026-08-08T18:56:37+00:00
Bissau,Guinea-Bissau,11.86357,-15.59767,13.0,Africa/Bissau,Guinea-Bissau,open-meteo,2026-08-08T18:56:37+00:00
Leonora,Guyana,6.86923,-58.28903,1.0,America/Guyana,Guyana,open-meteo,2026-08-08T18:56:38+00:00
Georgetown,Guyana,6.80448,-58.15527,3.0,America/Guyana,Guyana,open-meteo,2026-08-08T18:56:38+00:00
Linden,Guyana,6.00815,-58.30724,4.0,America/Guyana,Guyana,open-meteo,2026-08-08T18:56:39+00:00
Port-au-Prince,Haiti,18.54349,-72.33881,27.0,America/Port-au-Prince,Haiti,open-meteo,2026-08-08T18:56:40+00:00
San Pedro Sula,Honduras,15.50585,-88.02588,90.0,America/Tegucigalpa,Honduras,open-meteo,2026-08-08T18:56:40+00:00
Tegucigalpa,Honduras,14.0818,-87.20681,944.0,America/Tegucigalpa,Honduras,open-meteo,2026-08-08T18:56:41+00:00
Comayagua,Honduras,14.45577,-87.63968,551.0,America/Tegucigalpa,Honduras,open-meteo,2026-08-08T18:56:41+00:00
Budapest,Hungary,47.49835,19.04045,104.0,Europe/Budapest,Hungary,open-meteo,2026-08-08T18:56:43+00:00
Debrecen,Hungary,47.53167,21.62444,124.0,Europe/Budapest,Hungary,open-meteo,2026-08-08T18:56:44+00:00
Reykjavík,Iceland,64.13548,-21.89541,37.0,Atlantic/Reykjavik,Iceland,open-meteo,2026-08-08T18:56:44+00:00
Bengaluru,India,12.97194,77.59369,920.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:45+00:00
Kolkata,India,22.56263,88.36304,11.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:45+00:00
Bombay,India,,,,,,open-meteo,2026-08-08T18:56:46+00:00
Mumbai,India,19.07283,72.88261,8.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:47+00:00
Ahmedabad,India,23.02579,72.58727,56.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:47+00:00
Hyderabad,India,17.38405,78.45636,515.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:48+00:00
Guwahati,India,26.1844,91.7458,59.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:48+00:00
Imphal,India,24.80805,93.9442,784.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:49+00:00
Margao,India,15.27501,73.95786,22.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:49+00:00
Shillong,India,25.56892,91.88313,1507.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:50+00:00
Bhubaneswar,India,20.27241,85.83385,62.0,Asia/Kolkata,India,open-meteo,2026-08-08T18:56:50+00:00
Jakarta,Indonesia,-6.21462,106.84513,16.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:51+00:00
Cikarang,Indonesia,-6.26111,107.15278,17.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:51+00:00
Surabaya,Indonesia,-7.24917,112.75083,8.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:52+00:00
Banda Aceh,Indonesia,5.54167,95.33333,9.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:53+00:00
Bekasi,Indonesia,-6.2349,106.9896,18.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:53+00:00
Gianyar,Indonesia,-8.5435,115.3272,123.0,Asia/Makassar,Indonesia,open-meteo,2026-08-08T18:56:54+00:00
Sleman,Indonesia,-7.71556,110.35556,210.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:54+00:00
Surakarta,Indonesia,-7.55611,110.83167,100.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:55+00:00
Bogor,Indonesia,-6.59444,106.78917,245.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:55+00:00
Cibinong,Indonesia,-6.48167,106.85417,137.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:56+00:00
Bandung,Indonesia,-6.92222,107.60694,714.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:56+00:00
Soreang,Indonesia,-7.03306,107.51833,744.0,Asia/Jakarta,Indonesia,open-meteo,2026-08-08T18:56:57+00:00
Tehran,Iran,35.69439,51.42151,1178.0,Asia/Tehran,Iran,open-meteo,2026-08-08T18:56:57+00:00
Arad,Iran,35.34168,51.3456,918.0,Asia/Tehran,Iran,open-meteo,2026-08-08T18:56:58+00:00
Fuladshahr,Iran,,,,,,open-meteo,2026-08-08T18:56:59+00:00
Kish,Iran,26.55778,54.01944,6.0,Asia/Tehran,Iran,open-meteo,2026-08-08T18:56:59+00:00
Mashhad,Iran,36.29807,59.60567,980.0,Asia/Tehran,Iran,open-meteo,2026-08-08T18:57:00+00:00
Basra,Iraq,30.50852,47.7804,4.0,Asia/Baghdad,Iraq,open-meteo,2026-08-08T18:57:00+00:00
Karbala,Iraq,32.61603,44.02488,32.0,Asia/Baghdad,Iraq,open-meteo,2026-08-08T18:57:01+00:00
Baghdad,Iraq,33.34058,44.40088,41.0,Asia/Baghdad,Iraq,open-meteo,2026-08-08T18:57:01+00:00
Al-Ain,Iraq,,,,,,open-meteo,2026-08-08T18:57:02+00:00
Haifa,Israel,32.81303,34.99928,101.0,Asia/Jerusalem,Israel,open-meteo,2026-08-08T18:57:02+00:00
Netanya,Israel,32.33291,34.85992,38.0,Asia/Jerusalem,Israel,open-meteo,2026-08-08T18:57:03+00:00
Tel Aviv,Israel,32.08088,34.78057,15.0,Asia/Jerusalem,Israel,open-meteo,2026-08-08T18:57:04+00:00
Beer Sheva,Israel,,,,,,open-meteo,2026-08-08T18:57:04+00:00
Jerusalem,Israel,31.76904,35.21633,786.0,Asia/Jerusalem,Israel,open-meteo,2026-08-08T18:57:05+00:00
Petah Tikva,Israel,32.08707,34.88747,54.0,Asia/Jerusalem,Israel,open-meteo,2026-08-08T18:57:05+00:00
Milan,Italy,45.46427,9.18951,122.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:06+00:00
Rome,Italy,41.89193,12.51133,20.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:06+00:00
Turin,Italy,45.07049,7.68682,239.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:07+00:00
Bologna,Italy,44.49381,11.33875,54.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:07+00:00
Florence,Italy,43.77925,11.24626,50.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:08+00:00
Reggio Emilia,Italy,44.69825,10.63125,58.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:08+00:00
Udine,Italy,46.0693,13.23715,113.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:09+00:00
Bergamo,Italy,45.69601,9.66721,249.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:09+00:00
Palermo,Italy,38.1166,13.3636,14.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:10+00:00
Bari,Italy,41.12066,16.86982,5.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:11+00:00
Empoli,Italy,43.71795,10.94758,28.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:11+00:00
Parma,Italy,44.79935,10.32618,57.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:12+00:00
Cagliari,Italy,39.23054,9.11917,6.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:12+00:00
Cesena,Italy,44.1391,12.24315,44.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:13+00:00
Genoa,Italy,44.40478,8.94439,19.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:13+00:00
Napoli,Italy,40.87618,14.5195,58.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:57:14+00:00
Abidjan,Ivory Coast,5.35444,-4.00167,50.0,Africa/Abidjan,Ivory Coast,open-meteo,2026-08-08T18:57:14+00:00
Bouaké,Ivory Coast,7.69385,-5.03031,339.0,Africa/Abidjan,Ivory Coast,open-meteo,2026-08-08T18:57:15+00:00
Ebimpé,Ivory Coast,5.49901,-4.08207,93.0,Africa/Abidjan,Ivory Coast,open-meteo,2026-08-08T18:57:15+00:00
San-Pédro,Ivory Coast,4.74851,-6.6363,9.0,Africa/Abidjan,Ivory Coast,open-meteo,2026-08-08T18:57:16+00:00
Yamoussoukro,Ivory Coast,6.82055,-5.27674,214.0,Africa/Abidjan,Ivory Coast,open-meteo,2026-08-08T18:57:17+00:00
Amiens,France,49.9,2.3,28.0,Europe/Paris,France,open-meteo,2026-08-08T18:57:17+00:00
Korhogo,Ivory Coast,9.45803,-5.62961,360.0,Africa/Abidjan,Ivory Coast,open-meteo,2026-08-08T18:57:18+00:00
Kingston,Jamaica,17.99702,-76.79358,65.0,America/Jamaica,Jamaica,open-meteo,2026-08-08T18:57:18+00:00
Montego Bay,Jamaica,18.47116,-77.91883,12.0,America/Jamaica,Jamaica,open-meteo,2026-08-08T18:57:19+00:00
Saitama,Japan,35.90807,139.65657,16.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:19+00:00
Suita,Japan,34.76143,135.51567,4.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:20+00:00
Tokyo,Japan,35.6895,139.69171,44.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:20+00:00
Toyota,Japan,35.08333,137.15,55.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:21+00:00
Chōfu,Japan,35.65924,139.54837,44.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:21+00:00
Yokohama,Japan,35.43333,139.65,21.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:22+00:00
Kashima,Japan,35.96536,140.64474,38.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:23+00:00
Kobe,Japan,34.6913,135.183,35.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:23+00:00
Chiba,Japan,35.6,140.11667,5.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:24+00:00
Niigata,Japan,37.92259,139.04124,1.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:24+00:00
Osaka,Japan,34.69379,135.50107,4.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:25+00:00
Hiroshima,Japan,34.4,132.45,16.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:25+00:00
Rifu,Japan,38.33092,140.97691,7.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:26+00:00
Sapporo,Japan,43.06667,141.35,26.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:26+00:00
Ōita,Japan,33.23333,131.6,9.0,Asia/Tokyo,Japan,open-meteo,2026-08-08T18:57:27+00:00
Amman,Jordan,31.95522,35.94503,757.0,Asia/Amman,Jordan,open-meteo,2026-08-08T18:57:28+00:00
Astana,Kazakhstan,51.1801,71.44598,358.0,Asia/Almaty,Kazakhstan,open-meteo,2026-08-08T18:57:29+00:00
Almaty,Kazakhstan,43.25249,76.9115,783.0,Asia/Almaty,Kazakhstan,open-meteo,2026-08-08T18:57:30+00:00
Nairobi,Kenya,-1.28333,36.81667,1684.0,Africa/Nairobi,Kenya,open-meteo,2026-08-08T18:57:30+00:00
Machakos,Kenya,-1.52233,37.26521,1619.0,Africa/Nairobi,Kenya,open-meteo,2026-08-08T18:57:31+00:00
Kasarani,Kenya,-1.10972,37.07692,1485.0,Africa/Nairobi,Kenya,open-meteo,2026-08-08T18:57:32+00:00
Bondoufle,Kenya,,,,,,open-meteo,2026-08-08T18:57:37+00:00
Kakamega,Kenya,0.28422,34.75229,1563.0,Africa/Nairobi,Kenya,open-meteo,2026-08-08T18:57:38+00:00
Kisumu,Kenya,-0.10221,34.76171,1174.0,Africa/Nairobi,Kenya,open-meteo,2026-08-08T18:57:38+00:00
Pristina,Kosovo,42.67272,21.16688,597.0,Europe/Belgrade,Kosovo,open-meteo,2026-08-08T18:57:40+00:00
Mitrovica,Kosovo,42.88333,20.86667,509.0,Europe/Belgrade,Kosovo,open-meteo,2026-08-08T18:57:41+00:00
Kuwait City,Kuwait,29.367,47.97429,11.0,Asia/Kuwait,Kuwait,open-meteo,2026-08-08T18:57:41+00:00
Al Farwaniyah,Kuwait,29.2775,47.95861,44.0,Asia/Kuwait,Kuwait,open-meteo,2026-08-08T18:57:42+00:00
Al Ahmadi,Kuwait,29.07694,48.08389,70.0,Asia/Kuwait,Kuwait,open-meteo,2026-08-08T18:57:42+00:00
Bishkek,Kyrgyzstan,42.87,74.59,767.0,Asia/Bishkek,Kyrgyzstan,open-meteo,2026-08-08T18:57:43+00:00
Vientiane,Laos,17.96667,102.6,174.0,Asia/Vientiane,Laos,open-meteo,2026-08-08T18:57:43+00:00
Riga,Latvia,56.946,24.10589,6.0,Europe/Riga,Latvia,open-meteo,2026-08-08T18:57:44+00:00
Liepāja,Latvia,56.50474,21.01085,6.0,Europe/Riga,Latvia,open-meteo,2026-08-08T18:57:44+00:00
Beirut,Lebanon,33.89332,35.50157,40.0,Asia/Beirut,Lebanon,open-meteo,2026-08-08T18:57:45+00:00
Sidon,Lebanon,33.55751,35.37148,9.0,Asia/Beirut,Lebanon,open-meteo,2026-08-08T18:57:45+00:00
Maseru,Lesotho,-29.31667,27.48333,1552.0,Africa/Maseru,Lesotho,open-meteo,2026-08-08T18:57:46+00:00
Monrovia,Liberia,6.30054,-10.7969,32.0,Africa/Monrovia,Liberia,open-meteo,2026-08-08T18:57:47+00:00
Benghazi,Libya,32.11486,20.06859,3.0,Africa/Tripoli,Libya,open-meteo,2026-08-08T18:57:47+00:00
Benina,Libya,32.08556,20.25699,122.0,Africa/Tripoli,Libya,open-meteo,2026-08-08T18:57:48+00:00
Tripoli,Libya,32.88743,13.18733,15.0,Africa/Tripoli,Libya,open-meteo,2026-08-08T18:57:48+00:00
Vaduz,Liechtenstein,47.14151,9.52154,465.0,Europe/Vaduz,Liechtenstein,open-meteo,2026-08-08T18:57:49+00:00
Vilnius,Lithuania,54.68916,25.2798,98.0,Europe/Vilnius,Lithuania,open-meteo,2026-08-08T18:57:49+00:00
Kaunas,Lithuania,54.90156,23.90909,96.0,Europe/Vilnius,Lithuania,open-meteo,2026-08-08T18:57:50+00:00
Luhansk,Ukraine,48.56814,39.30553,104.0,Europe/Kyiv,Ukraine,open-meteo,2026-08-08T18:57:50+00:00
Luxembourg,Luxembourg,49.75,6.16667,406.0,Europe/Luxembourg,Luxembourg,open-meteo,2026-08-08T18:57:51+00:00
Hesperange,Luxembourg,49.56806,6.15139,270.0,Europe/Luxembourg,Luxembourg,open-meteo,2026-08-08T18:57:51+00:00
Antananarivo,Madagascar,-18.91368,47.53613,1274.0,Indian/Antananarivo,Madagascar,open-meteo,2026-08-08T18:57:53+00:00
Toamasina,Madagascar,-18.1492,49.40234,12.0,Indian/Antananarivo,Madagascar,open-meteo,2026-08-08T18:57:54+00:00
Lilongwe,Malawi,-13.96692,33.78725,1056.0,Africa/Blantyre,Malawi,open-meteo,2026-08-08T18:57:55+00:00
Blantyre,Malawi,-15.78499,35.00854,1041.0,Africa/Blantyre,Malawi,open-meteo,2026-08-08T18:57:55+00:00
Kuala Lumpur,Malaysia,3.1412,101.68653,56.0,Asia/Kuala_Lumpur,Malaysia,open-meteo,2026-08-08T18:57:56+00:00
Johor Bahru,Malaysia,1.4655,103.7578,32.0,Asia/Kuala_Lumpur,Malaysia,open-meteo,2026-08-08T18:57:56+00:00
Johor,Malaysia,1.4655,103.7578,32.0,Asia/Kuala_Lumpur,Malaysia,open-meteo,2026-08-08T18:57:57+00:00
Paya Rumput,Malaysia,2.2973,102.2156,20.0,Asia/Kuala_Lumpur,Malaysia,open-meteo,2026-08-08T18:57:57+00:00
Shah Alam,Malaysia,3.08507,101.53281,53.0,Asia/Kuala_Lumpur,Malaysia,open-meteo,2026-08-08T18:57:58+00:00
Terengganu,Malaysia,,,,,,open-meteo,2026-08-08T18:57:59+00:00
Malacca City,Malaysia,,,,,,open-meteo,2026-08-08T18:57:59+00:00
Malé,Maldives,4.17521,73.50916,8.0,Indian/Maldives,Maldives,open-meteo,2026-08-08T18:58:00+00:00
Laamu,Maldives,,,,,,open-meteo,2026-08-08T18:58:00+00:00
Bamako,Mali,12.60915,-7.97522,374.0,Africa/Bamako,Mali,open-meteo,2026-08-08T18:58:02+00:00
Ta' Qali,Malta,,,,,,open-meteo,2026-08-08T18:58:03+00:00
Attard,Malta,35.88967,14.4425,69.0,Europe/Malta,Malta,open-meteo,2026-08-08T18:58:03+00:00
Nouakchott,Mauritania,18.08581,-15.9785,10.0,Africa/Nouakchott,Mauritania,open-meteo,2026-08-08T18:58:05+00:00
Nouadhibou,Mauritania,20.94188,-17.03842,16.0,Africa/Nouakchott,Mauritania,open-meteo,2026-08-08T18:58:05+00:00
Saint Pierre,Mauritius,-20.2215,57.53431,392.0,Indian/Mauritius,Mauritius,open-meteo,2026-08-08T18:58:06+00:00
Curepipe,Mauritius,-20.31628,57.52594,559.0,Indian/Mauritius,Mauritius,open-meteo,2026-08-08T18:58:07+00:00
Belle Vue Harel,Mauritius,-20.06583,57.59417,80.0,Indian/Mauritius,Mauritius,open-meteo,2026-08-08T18:58:07+00:00
Belle Vue Maurel,Mauritius,-20.12028,57.66361,108.0,Indian/Mauritius,Mauritius,open-meteo,2026-08-08T18:58:08+00:00
Centre de Flacq,Mauritius,-20.18972,57.71444,53.0,Indian/Mauritius,Mauritius,open-meteo,2026-08-08T18:58:08+00:00
Mapou,Mauritius,-20.07583,57.60139,91.0,Indian/Mauritius,Mauritius,open-meteo,2026-08-08T18:58:09+00:00
Mexico City,Mexico,19.42847,-99.12766,2240.0,America/Mexico_City,Mexico,open-meteo,2026-08-08T18:58:10+00:00
Toluca,Mexico,19.28786,-99.65324,2671.0,America/Mexico_City,Mexico,open-meteo,2026-08-08T18:58:10+00:00
Zapopan,Mexico,20.72111,-103.38742,1565.0,America/Mexico_City,Mexico,open-meteo,2026-08-08T18:58:11+00:00
Querétaro,Mexico,15.83752,-92.75774,683.0,America/Mexico_City,Mexico,open-meteo,2026-08-08T18:58:11+00:00
Torreón,Mexico,25.54389,-103.41898,1124.0,America/Monterrey,Mexico,open-meteo,2026-08-08T18:58:12+00:00
Mazatlán,Mexico,23.22163,-106.41885,1.0,America/Mazatlan,Mexico,open-meteo,2026-08-08T18:58:13+00:00
Puebla,Mexico,19.04778,-98.20723,2166.0,America/Mexico_City,Mexico,open-meteo,2026-08-08T18:58:13+00:00
San Luis Potosí,Mexico,22.15234,-100.97135,1886.0,America/Monterrey,Mexico,open-meteo,2026-08-08T18:58:14+00:00
San Nicolás de los Garza,Mexico,25.74167,-100.30222,510.0,America/Monterrey,Mexico,open-meteo,2026-08-08T18:58:15+00:00
Chișinău,Moldova,47.00902,28.85938,24.0,Europe/Chisinau,Moldova,open-meteo,2026-08-08T18:58:16+00:00
Ulaanbaatar,Mongolia,47.90771,106.88324,1284.0,Asia/Ulaanbaatar,Mongolia,open-meteo,2026-08-08T18:58:17+00:00
Podgorica,Montenegro,42.44124,19.26309,49.0,Europe/Podgorica,Montenegro,open-meteo,2026-08-08T18:58:18+00:00
Nikšić,Montenegro,42.7731,18.94446,630.0,Europe/Podgorica,Montenegro,open-meteo,2026-08-08T18:58:19+00:00
Lookout,Montserrat,,,,,,open-meteo,2026-08-08T18:58:20+00:00
Rabat,Morocco,34.01325,-6.83255,46.0,Africa/Casablanca,Morocco,open-meteo,2026-08-08T18:58:20+00:00
